"ID","プラグイン","重大度","確度","分類","不具合内容","ファイル","行","影響","詳細","推奨対応","ステータス","関連BUG.md","確認方法"
"PB-0072","TabDisplay","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/TabDisplay/TabDisplay/contents/js/desktop.js","266","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-013","kintone.api近傍catch確認"
"PB-0073","TabDisplay","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/TabDisplay/TabDisplay/contents/js/mobile.js","179","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","BUG-007","kintone.api近傍catch確認"
"PB-0074","TimeCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/TimeCalculation/TimeCalculation/contents/js/config.js","143","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0075","TimeCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/TimeCalculation/TimeCalculation/contents/js/desktop.js","399","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0076","TimeCalculation","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/TimeCalculation/TimeCalculation/contents/js/mobile.js","398","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0077","UserSelectStringAssignment","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/UserSelectStringAssignment/UserSelectStringAssignment/contents/js/config.js","202","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0078","UserSelectStringAssignment","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/UserSelectStringAssignment/UserSelectStringAssignment/contents/js/desktop.js","170","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0079","UserSelectStringAssignment","Medium","Medium","REST API","kintone REST API呼び出しのエラー処理が近傍で確認できない","plugins/UserSelectStringAssignment/UserSelectStringAssignment/contents/js/mobile.js","170","API失敗時に処理が止まる、またはユーザーへ通知されない可能性","kintone.api呼び出し近傍にcatchまたはtry-catchが確認できない。","対象関数でエラー処理の有無を確認する。","未対応（潜在）","","kintone.api近傍catch確認"
"PB-0080","appList","Low","High","CSS","!importantが使用されている","plugins/appList/appList/contents/css/config.css","105","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0081","appList","Low","High","CSS","!importantが使用されている","plugins/appList/appList/contents/css/config.css","111","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0082","appList","Low","High","CSS","!importantが使用されている","plugins/appList/appList/contents/css/config.css","115","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0083","appList","Low","High","CSS","!importantが使用されている","plugins/appList/appList/contents/css/config.css","120","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0084","appList","Low","High","CSS","!importantが使用されている","plugins/appList/appList/contents/css/config.css","124","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0085","FieldHidden","Low","High","JavaScript","console.logが残置されている","plugins/FieldHidden/FieldHidden/contents/js/mobile.js","167","本番利用時に不要なログが出力される可能性","実行されるconsole.logが残っている。","必要性を確認し、不要であれば削除する。","未対応（潜在）","","コメント除外後console.log検索"
"PB-0086","FuriganaAutoInput","Low","High","JavaScript","console.logが残置されている","plugins/FuriganaAutoInput/FuriganaAutoInput/contents/js/mobile.js","170","本番利用時に不要なログが出力される可能性","実行されるconsole.logが残っている。","必要性を確認し、不要であれば削除する。","未対応（潜在）","","コメント除外後console.log検索"
"PB-0087","StringConcatenation","Low","High","CSS","!importantが使用されている","plugins/StringConcatenation/StringConcatenation/contents/css/config.css","23","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0088","StringConcatenation","Low","High","CSS","!importantが使用されている","plugins/StringConcatenation/StringConcatenation/contents/css/config.css","28","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0089","StringConcatenation","Low","High","CSS","!importantが使用されている","plugins/StringConcatenation/StringConcatenation/contents/css/config.css","31","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0090","TabDisplay","Low","High","CSS","!importantが使用されている","plugins/TabDisplay/TabDisplay/contents/css/config.css","26","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0091","TabDisplay","Low","High","CSS","!importantが使用されている","plugins/TabDisplay/TabDisplay/contents/css/config.css","31","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
"PB-0092","TabDisplay","Low","High","CSS","!importantが使用されている","plugins/TabDisplay/TabDisplay/contents/css/config.css","34","他スタイルとの競合や表示調整困難につながる可能性","CSS内で!importantが使用されている。","必要性を確認し、不要であれば通常の詳細度へ置き換える。","未対応（潜在）","","CSS !important検索"
